Data Set 1:Time(s),Data Set 1:Potential 1(V),Data Set 2:Time(s),Data Set 2:Potential 1(V),Data Set 3:Time(s),Data Set 3:Potential 1(V),Data Set 4:Time(s),Data Set 4:Potential 1(V),Data Set 5:Time(s),Data Set 5:Potential 1(V),Data Set 6:Time(s),Data Set 6:Potential 1(V)
0.000000000000,-2.695007324219,0.000000000000,-6.938476562500,0.000000000000,-4.843444824219,0.000000000000,-0.444641113281,0.000000000000,-5.373535156250,0.000000000000,-6.209411621094
0.002174000000,-1.805725097656,0.001075000000,-6.506042480469,0.000526000000,-4.639282226562,0.000270000000,-0.337524414062,0.000135000000,-5.314941406250,0.000115000000,-6.156005859375
0.004348000000,-0.925903320312,0.002150000000,-6.063537597656,0.001052000000,-4.425659179688,0.000540000000,-0.220947265625,0.000270000000,-5.266418457031,0.000230000000,-6.102600097656
0.006522000000,-0.046081542969,0.003225000000,-5.635986328125,0.001578000000,-4.201965332031,0.000810000000,-0.114135742188,0.000405000000,-5.213012695312,0.000345000000,-6.073303222656
0.008696000000,-6.141357421875,0.004300000000,-5.208129882812,0.002104000000,-4.002685546875,0.001080000000,-0.011901855469,0.000540000000,-5.164489746094,0.000460000000,-6.015014648438
0.010870000000,-5.266418457031,0.005375000000,-4.770507812500,0.002630000000,-3.783874511719,0.001350000000,-6.889953613281,0.000675000000,-5.096435546875,0.000575000000,-5.976257324219
0.013044000000,-4.391479492188,0.006450000000,-4.333190917969,0.003156000000,-3.560180664062,0.001620000000,-6.768493652344,0.000810000000,-5.042724609375,0.000690000000,-5.937194824219
0.015218000000,-3.497009277344,0.007525000000,-3.900451660156,0.003682000000,-3.356018066406,0.001890000000,-6.651611328125,0.000945000000,-4.989318847656,0.000805000000,-5.883789062500
0.017392000000,-2.626953125000,0.008600000000,-3.453369140625,0.004208000000,-3.137512207031,0.002160000000,-6.564331054688,0.001080000000,-4.931030273438,0.000920000000,-5.830383300781
0.019566000000,-1.747131347656,0.009675000000,-3.016052246094,0.004734000000,-2.923583984375,0.002430000000,-6.447753906250,0.001215000000,-4.892272949219,0.001035000000,-5.791320800781
0.021740000000,-0.867309570312,0.010750000000,-2.583312988281,0.005260000000,-2.714538574219,0.002700000000,-6.335754394531,0.001350000000,-4.833984375000,0.001150000000,-5.747680664062
0.023914000000,0.012207031250,0.011825000000,-2.155456542969,0.005786000000,-2.481079101562,0.002970000000,-6.233825683594,0.001485000000,-4.780273437500,0.001265000000,-5.704040527344
0.026088000000,-6.083068847656,0.012900000000,-1.713256835938,0.006312000000,-2.286682128906,0.003240000000,-6.121826171875,0.001620000000,-4.721984863281,0.001380000000,-5.645446777344
0.028262000000,-5.203247070312,0.013975000000,-1.285400390625,0.006838000000,-2.068176269531,0.003510000000,-6.000366210938,0.001755000000,-4.663696289062,0.001495000000,-5.592041015625
0.030436000000,-4.323425292969,0.015050000000,-0.843200683594,0.007364000000,-1.844482421875,0.003780000000,-5.893554687500,0.001890000000,-4.610290527344,0.001610000000,-5.558166503906
0.032610000000,-3.438720703125,0.016125000000,-0.400695800781,0.007890000000,-1.650085449219,0.004050000000,-5.801086425781,0.002025000000,-4.556884765625,0.001725000000,-5.499877929688
0.034784000000,-2.558898925781,0.017200000000,-5.704040527344,0.008416000000,-1.431274414062,0.004320000000,-5.679626464844,0.002160000000,-4.508056640625,0.001840000000,-5.455932617188
0.036958000000,-1.688842773438,0.018275000000,-6.520385742188,0.008942000000,-1.207580566406,0.004590000000,-5.563049316406,0.002295000000,-4.459533691406,0.001955000000,-5.417175292969
0.039132000000,-0.809020996094,0.019350000000,-6.092834472656,0.009468000000,-1.008300781250,0.004860000000,-5.455932617188,0.002430000000,-4.396362304688,0.002070000000,-5.368652343750
0.041306000000,-6.914367675781,0.020425000000,-5.664978027344,0.009994000000,-0.789794921875,0.005130000000,-5.358886718750,0.002565000000,-4.333190917969,0.002185000000,-5.319824218750
0.043480000000,-6.024780273438,0.021500000000,-5.222778320312,0.010520000000,-0.580749511719,0.005400000000,-5.237426757812,0.002700000000,-4.274902343750,0.002300000000,-5.276184082031
0.045654000000,-5.144958496094,0.022575000000,-4.785156250000,0.011046000000,-0.366821289062,0.005670000000,-5.135192871094,0.002835000000,-4.221496582031,0.002415000000,-5.237426757812
0.047828000000,-4.265136718750,0.023650000000,-4.342956542969,0.011572000000,-0.148010253906,0.005940000000,-5.033264160156,0.002970000000,-4.172668457031,0.002530000000,-5.188598632812
0.050002000000,-3.380432128906,0.024725000000,-3.915100097656,0.012098000000,-6.933593750000,0.006210000000,-4.916381835938,0.003105000000,-4.114379882812,0.002645000000,-5.130310058594
0.052176000000,-2.500610351562,0.025800000000,-3.472900390625,0.012624000000,-6.710205078125,0.006480000000,-4.799804687500,0.003240000000,-4.075622558594,0.002760000000,-5.091552734375
0.054350000000,-1.620788574219,0.026875000000,-3.030395507812,0.013150000000,-6.496276855469,0.006750000000,-4.697875976562,0.003375000000,-4.017333984375,0.002875000000,-5.057373046875
0.056524000000,-0.750732421875,0.027950000000,-2.612609863281,0.013676000000,-6.292114257812,0.007020000000,-4.600524902344,0.003510000000,-3.963623046875,0.002990000000,-5.003967285156
0.058698000000,-6.855773925781,0.029025000000,-2.174987792969,0.014202000000,-6.063537597656,0.007290000000,-4.488830566406,0.003645000000,-3.900451660156,0.003105000000,-4.945678710938
0.060872000000,-5.966491699219,0.030100000000,-1.732788085938,0.014728000000,-5.859375000000,0.007560000000,-4.371948242188,0.003780000000,-3.847045898438,0.003220000000,-4.902038574219
