Data Set 1:Time(s),Data Set 1:Potential(V),Data Set 2:Time(s),Data Set 2:Potential(V),Data Set 3:Time(s),Data Set 3:Potential(V),Data Set 4:Time(s),Data Set 4:Potential(V),Data Set 5:Time(s),Data Set 5:Potential(V)
0.000000000000,2.719726562500,0.000000000000,3.152465820312,0.000000000000,1.966247558594,0.000000000000,-1.528625488281,0.000000000000,1.635742187500
0.000100000000,2.739257812500,0.000200000000,3.176574707031,0.000400000000,1.961364746094,0.000800000000,-1.523742675781,0.001600000000,1.630859375000
0.000200000000,2.734375000000,0.000400000000,3.176574707031,0.000800000000,1.980895996094,0.001600000000,-1.513977050781,0.003200000000,1.635742187500
0.000300000000,2.729492187500,0.000600000000,3.167114257812,0.001200000000,1.966247558594,0.002400000000,-1.523742675781,0.004800000000,1.640625000000
0.000400000000,2.739257812500,0.000800000000,3.171691894531,0.001600000000,1.976013183594,0.003200000000,-1.523742675781,0.006400000000,1.640625000000
0.000500000000,2.729492187500,0.001000000000,3.171691894531,0.002000000000,1.971130371094,0.004000000000,-1.528625488281,0.008000000000,1.640625000000
0.000600000000,2.729492187500,0.001200000000,3.171691894531,0.002400000000,1.971130371094,0.004800000000,-1.533508300781,0.009600000000,-3.813171386719
0.000700000000,2.739257812500,0.001400000000,3.167114257812,0.002800000000,1.976013183594,0.005600000000,-1.533508300781,0.011200000000,-3.818054199219
0.000800000000,2.729492187500,0.001600000000,3.176574707031,0.003200000000,1.966247558594,0.006400000000,-1.533508300781,0.012800000000,1.640625000000
0.000900000000,2.734375000000,0.001800000000,3.176574707031,0.003600000000,1.971130371094,0.007200000000,-1.523742675781,0.014400000000,1.640625000000
0.001000000000,2.734375000000,0.002000000000,3.171691894531,0.004000000000,1.966247558594,0.008000000000,-1.523742675781,0.016000000000,1.640625000000
0.001100000000,2.729492187500,0.002200000000,3.162231445312,0.004400000000,1.971130371094,0.008800000000,-1.523742675781,0.017600000000,1.635742187500
0.001200000000,2.744140625000,0.002400000000,3.176574707031,0.004800000000,1.966247558594,0.009600000000,-1.518859863281,0.019200000000,1.630859375000
0.001300000000,2.734375000000,0.002600000000,3.176574707031,0.005200000000,1.971130371094,0.010400000000,-1.518859863281,0.020800000000,1.640625000000
0.001400000000,2.729492187500,0.002800000000,3.162231445312,0.005600000000,1.966247558594,0.011200000000,-1.523742675781,0.022400000000,1.640625000000
0.001500000000,2.739257812500,0.003000000000,3.171691894531,0.006000000000,1.966247558594,0.012000000000,-1.533508300781,0.024000000000,1.640625000000
0.001600000000,2.724609375000,0.003200000000,3.176574707031,0.006400000000,1.976013183594,0.012800000000,3.930053710938,0.025600000000,-3.813171386719
0.001700000000,2.734375000000,0.003400000000,3.171691894531,0.006800000000,1.966247558594,0.013600000000,3.925170898438,0.027200000000,-3.822937011719
0.001800000000,2.729492187500,0.003600000000,3.167114257812,0.007200000000,1.976013183594,0.014400000000,3.925170898438,0.028800000000,-3.803405761719
0.001900000000,2.724609375000,0.003800000000,3.171691894531,0.007600000000,1.966247558594,0.015200000000,3.934936523438,0.030400000000,1.640625000000
0.002000000000,2.734375000000,0.004000000000,3.176574707031,0.008000000000,1.976013183594,0.016000000000,3.934936523438,0.032000000000,1.640625000000
0.002100000000,2.734375000000,0.004200000000,-2.281799316406,0.008400000000,1.961364746094,0.016800000000,3.934936523438,0.033600000000,1.635742187500
0.002200000000,2.729492187500,0.004400000000,-2.291564941406,0.008800000000,-3.472900390625,0.017600000000,-1.518859863281,0.035200000000,1.630859375000
0.002300000000,2.734375000000,0.004600000000,-2.281799316406,0.009200000000,-3.492126464844,0.018400000000,-1.518859863281,0.036800000000,1.640625000000
0.002400000000,2.734375000000,0.004800000000,-2.281799316406,0.009600000000,-3.477783203125,0.019200000000,-1.518859863281,0.038400000000,1.640625000000
0.002500000000,2.729492187500,0.005000000000,-2.286682128906,0.010000000000,-3.477783203125,0.020000000000,-1.528625488281,0.040000000000,1.645507812500
0.002600000000,2.739257812500,0.005200000000,-2.281799316406,0.010400000000,-3.477783203125,0.020800000000,-1.533508300781,0.041600000000,1.635742187500
0.002700000000,2.729492187500,0.005400000000,-2.281799316406,0.010800000000,-3.477783203125,0.021600000000,-1.528625488281,0.043200000000,-3.822937011719
0.002800000000,2.729492187500,0.005600000000,-2.286682128906,0.011200000000,-3.487548828125,0.022400000000,-1.538391113281,0.044800000000,-3.813171386719
0.002900000000,2.734375000000,0.005800000000,-2.291564941406,0.011600000000,-3.477783203125,0.023200000000,-1.523742675781,0.046400000000,1.635742187500
0.003000000000,2.724609375000,0.006000000000,-2.281799316406,0.012000000000,-3.487548828125,0.024000000000,-1.523742675781,0.048000000000,1.640625000000
0.003100000000,2.734375000000,0.006200000000,-2.277221679688,0.012400000000,-3.477783203125,0.024800000000,-1.523742675781,0.049600000000,1.635742187500
0.003200000000,2.734375000000,0.006400000000,-2.286682128906,0.012800000000,-3.487548828125,0.025600000000,-1.518859863281,0.051200000000,1.630859375000
0.003300000000,2.729492187500,0.006600000000,-2.291564941406,0.013200000000,-3.472900390625,0.026400000000,-1.518859863281,0.052800000000,1.640625000000
0.003400000000,2.739257812500,0.006800000000,-2.281799316406,0.013600000000,-3.487548828125,0.027200000000,-1.518859863281,0.054400000000,1.640625000000
0.003500000000,2.739257812500,0.007000000000,-2.281799316406,0.014000000000,-3.477783203125,0.028000000000,-1.523742675781,0.056000000000,1.645507812500
0.003600000000,2.729492187500,0.007200000000,-2.286682128906,0.014400000000,-3.477783203125,0.028800000000,-1.528625488281,0.057600000000,1.640625000000
